t_code,t_code_opp,kickoff_time,event,name,name_opp,home_False,home_True,o,d,NPxG,NPxGC,xG,eG,xGC,eGC,PxG,PxGC,xA,xFA,xOG,xPen,xPenC,xSaves,xCS,eGD,pct_win
43,94,,,Man City,Brentford,False,True,1.3795103341326114,0.7862607473372436,2.037923671072523,0.7614835786091217,2.208213937333635,2.1878813161470707,0.8251136562197159,0.8175162386307147,0.17029026626111188,0.06363007761059414,1.3399189493284016,0.41467845841018025,0.02896074429243855,0.2159947567999897,0.08070786099770946,1.6820753106298576,0.441526941287695,1.370365077516356,0.6868819931114297
8,94,2023-10-28,10,Chelsea,Brentford,False,True,1.3795103341326114,1.1558898189863875,1.5324528095783951,1.119464654467956,1.6605055922610528,1.6452161175345312,1.2130078704309584,1.2018388305527055,0.12805278268265763,0.0935432159630023,1.007575792779811,0.3118248135014199,0.042575480960058074,0.16242108407237144,0.1186494367871668,2.472835802766419,0.3006408756947274,0.44337728698182577,0.4772401298805449
3,94,2024-03-09,28,Arsenal,Brentford,False,True,1.3795103341326114,1.0369526845106283,1.754392375212116,1.0042755456426256,1.9009905765785613,1.8834867828476554,1.0881934825578006,1.078173698928841,0.1465982013664453,0.08391793691517502,1.15349932947529,0.35698526688031446,0.03819460864754211,0.18594393882096055,0.10644081293147516,2.2183894017521673,0.3402162960014269,0.8053130839188143,0.5617481459667242
91,94,2024-05-11,37,Bournemouth,Brentford,False,True,1.3795103341326114,1.6330760417462118,1.1800626255343616,1.581613469349928,1.2786694485275283,1.2668958150583294,1.7137741496741397,1.6979941928522364,0.0986068229931667,0.1321606803242117,0.77588198998423,0.24012015627971212,0.060151925191852286,0.12507207381172844,0.1676315072605425,3.4936970966760095,0.18305031970875635,-0.43109837779390703,0.28613636103101425
39,94,2024-02-10,24,Wolves,Brentford,False,True,1.3795103341326114,1.4544719381279994,1.1592811578750812,1.4086376563794047,1.2561514675182985,1.2445851733698086,1.526344361971589,1.512290206625713,0.0968703096432173,0.11770670559218432,0.7622183367734744,0.23589152539683117,0.05357330888424122,0.12286949472757142,0.1492982059768954,3.1116030469720206,0.22040462736369307,-0.26770503325590433,0.31281857401424057
21,94,2024-02-24,26,West Ham,Brentford,False,True,1.3795103341326114,1.4269962479324745,1.430502273302999,1.3820277983066223,1.5500360009227832,1.5357636995395418,1.4975109663440367,1.483722300904236,0.11953372761978409,0.11548316803741443,0.9405441088219408,0.2910798308424163,0.052561282732985874,0.15161558551469317,0.14647788944370171,3.0528233351818503,0.22679192747533883,0.05204139863530588,0.39040148612029146
7,94,2024-04-06,32,Aston Villa,Brentford,False,True,1.3795103341326114,1.3191743075701108,1.4404224241376504,1.277603614245841,1.5607850862023118,1.5464138102245373,1.3843610275554292,1.3716142153544726,0.1203626620646614,0.10675741330958832,0.9470665307714096,0.29309839165198026,0.04858982205085975,0.15266699906730263,0.13541021475087306,2.8221560604362304,0.253697107081084,0.1747995948700647,0.41595209467649286
36,94,2023-12-06,15,Brighton,Brentford,False,True,1.3795103341326114,1.2065393286399853,1.8453406747573213,1.1685180632721424,1.9995385769199194,1.9811273805475584,1.2661602149140674,1.2545017629968442,0.1541979021625981,0.09764215164192502,1.2132971284309702,0.3754915049626194,0.04444108025721602,0.19558333607635478,0.12384849269650561,2.5811920827566794,0.28521791895025234,0.7266256175507142,0.5427147687894099
14,94,2023-11-12,12,Liverpool,Brentford,False,True,1.3795103341326114,1.1617885078721597,2.010328807020212,1.1251774599679782,2.178313227967483,2.158255924215735,1.2191980417830515,1.207972004524674,0.16798442094727095,0.09402058181507322,1.3217755410287304,0.40906343177906573,0.04279275038506757,0.21307004179004432,0.11925492366193965,2.485455075664687,0.29880263578582705,0.9502839196910611,0.5904416390184838
90,94,2024-03-16,29,Burnley,Brentford,False,True,1.3795103341326114,1.5856924016180987,1.1204116059840175,1.5357230138305882,1.214033949849647,1.2028554621168295,1.6640490569698265,1.6487269550035286,0.09362234386562962,0.12832604313923834,0.7366619089886545,0.22798231560351342,0.058406619337474396,0.11874980196046375,0.16276768536179395,3.3923276063928025,0.1922945524842797,-0.44587149288669914,0.27886891523828633
11,94,2024-04-27,35,Everton,Brentford,False,True,1.3795103341326114,1.4828846577450443,1.3758545844741739,1.436155015582795,1.4908219146310355,1.47709484012329,1.5561610901317577,1.5418323906267066,0.11496733015686167,0.12000607454896284,0.9046136788268819,0.27996007219743707,0.05461984911948592,0.14582360496811475,0.1522147064294303,3.1723873788079087,0.21398863119538192,-0.06473755050341667,0.3648082522310087
49,94,2023-12-09,16,Sheffield Utd,Brentford,False,True,1.3795103341326114,1.6672286889960333,1.0879772556811882,1.6146898757899588,1.1788893635220465,1.1680344773880036,1.7496144427795968,1.733504478483957,0.09091210784085835,0.13492456698963795,0.715336576152688,0.2213825461548203,0.0614098871176658,0.11531216113756766,0.17113719810963718,3.566761057869707,0.17666420794666443,-0.5654700010959535,0.25692482832518837
102,94,2024-04-20,34,Luton,Brentford,False,True,1.3795103341326114,1.6263800124827628,1.1505646101862157,1.5751284497895968,1.2467065592691804,1.2352272312150185,1.7067472375378927,1.6910319825730702,0.0961419490829647,0.13161878774829594,0.756487274522802,0.23411787478882026,0.05990528692085862,0.12194564825337988,0.1669441752261491,3.479372045423678,0.18432920128158897,-0.45580475135805165,0.2797157851303188
